Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Mag-Col	IR
SC249364-PC04924-G-01	PC04924	Run1	NP0084-MB4	SC249364	Study	human_1	human_1	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249364-PC04925-C-01	PC04925	Run2	NP0084-MB4	SC249364	Study	human_1	human_1	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249369	PC07578	Run3	NP0084-MB5	SC249369	Study	human_1	human_1	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249369-PC04924-C-02	PC04924	Run1	NP0084-MB4	SC249369	Study	human_1	human_1	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249369-PC04925-E-01	PC04925	Run2	NP0084-MB4	SC249369	Study	human_1	human_1	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249360-PC04924-C-01	PC04924	Run1	NP0084-MB4	SC249360	Study	Robogut	DZ35298	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249360-PC07578-B-09	PC07578	Run3	NP0084-MB5	SC249360	Study	Robogut	DZ35298	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249365-PC04924-H-01	PC04924	Run1	NP0084-MB4	SC249365	Study	Robogut	DZ35298	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249365-PC07578-E-09	PC07578	Run3	NP0084-MB5	SC249365	Study	Robogut	DZ35298	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249368-PC04924-B-02	PC04924	Run1	NP0084-MB4	SC249368	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249368-PC07578-C-10	PC07578	Run3	NP0084-MB5	SC249368	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249362-PC04924-E-01	PC04924	Run1	NP0084-MB4	SC249362	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249362-PC07578-H-08	PC07578	Run3	NP0084-MB5	SC249362	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC253848	PC04924	Run1	NP0084-MB4	SC253848	Ext_Control	art_col	DZ35322	sFEMB-001-R-011	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
