Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Mag-Col	IR
SC553007	PC22192_E_02	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553007	Study	Robogut	DZ35298	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553016	PC22192_E_04	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553016	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553017	PC22190_B_04	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553017	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-041	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553040	PC22190_E_07	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553040	Ext_Control	Ext_Blank	Water	sFEMB-001-R-044	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Horizontal	Horizontal	Tubes	Magnetic	None
SC553038	PC22192_F_07	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553038	Study	human_1	human_1	sFEMB-001-R-044	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Horizontal	Horizontal	Tubes	Magnetic	None
SC553037	PC22192_E_07	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553037	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-044	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Horizontal	Horizontal	Tubes	Magnetic	None
SC553039	PC22190_D_08	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553039	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-044	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Horizontal	Horizontal	Tubes	Magnetic	None
SC553060	PC22190_B_05	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553060	Ext_Control	Ext_Blank	Water	sFEMB-001-R-049	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	SPEX	SPEX	Plate	Magnetic	None
SC553058	PC22190_G_11	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553058	Study	human_1	human_1	sFEMB-001-R-049	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	SPEX	SPEX	Plate	Magnetic	None
SC553057	PC22192_B_05	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553057	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-049	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	SPEX	SPEX	Plate	Magnetic	None
SC553059	PC22190_H_08	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553059	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-049	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	SPEX	SPEX	Plate	Magnetic	None
SC553090	PC22190_A_01	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553090	Ext_Control	Ext_Blank	Water	sFEMB-001-R-054	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Covaris	AFA	Tubes	Magnetic	None
SC553088	PC22190_F_05	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553088	Study	human_1	human_1	sFEMB-001-R-054	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Covaris	AFA	Tubes	Magnetic	None
SC553087	PC22190_F_04	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553087	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-054	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Covaris	AFA	Tubes	Magnetic	None
SC553089	PC22192_F_11	190617_M01354_0118_000000000-CHFG3	NP0084-MB6	SC553089	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-054	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Covaris	AFA	Tubes	Magnetic	None
